,Position X (m),Position Y (m),Position Z (m)
0,1150000000000.0,-1030000000000.0,-56000000000.0
1,1155978880000.0,-1022526400000.0,-56000000000.0
2,1161926520387.867,-1015025163630.6648,-55998483046.69117
3,1167842731873.4167,-1007496466709.7255,-55995447759.45634
4,1173727326777.2937,-999940487098.6493,-55990892852.195946
5,1179580119058.7434,-992357404685.5594,-55984817133.72713
6,1185400924343.0752,-984747401367.6116,-55977219508.15222
7,1191189559948.7878,-977110661032.8293,-55968098975.19635
8,1196945844914.324,-969447369541.4086,-55957454630.51339
9,1202669600024.3972,-961757714706.485,-55945285665.959564
10,1208360647835.8042,-954041886274.3262,-55931591369.833405
11,1214018812702.6204,-946300075903.8383,-55916371127.081085
12,1219643920800.7146,-938532477145.1921,-55899624419.467094
13,1225235800151.7395,-930739285417.3818,-55881350825.71446
14,1230794280647.1914,-922920697984.9482,-55861550021.62706
15,1236319194073.0303,-915076913934.7275,-55840221780.20356
16,1241810374134.1724,-907208134152.829,-55817365971.72709
17,1247267656478.3027,-899314561301.3375,-55792982563.80985
18,1252690878718.5596,-891396399794.2323,-55767071621.39759
19,1258079880455.566,-883453855772.2845,-55739633306.75115
20,1263434503299.1865,-875487137077.3558,-55710667879.404686
21,1268754590889.9863,-867496453226.1995,-55680175696.10147
22,1274039988920.3655,-859482015383.8055,-55648157210.70837
23,1279290545155.355,-851444036336.322,-55614612974.10939
24,1284506109453.0525,-843382730463.5823,-55579543634.078384
25,1289686533784.6702,-835298313711.2689,-55542949935.129776
26,1294831672254.1562,-827191003562.7383,-55504832718.345695
27,1299941381117.332,-819061019010.5227,-55465192921.17716
28,1305015518800.458,-810908580527.5083,-55424031577.21711
29,1310053945918.0806,-802733910037.7285,-55381349815.94374
30,1315056525289.9697,-794537230886.5775,-55337148862.43373
31,1320023121957.0903,-786318767810.075,-55291430037.04812
32,1324953603197.2544,-778078746903.0208,-55244194755.10346
33,1329847838541.881,-769817395587.227,-55195444526.5412
34,1334705699792.8752,-761534942580.5212,-55145180955.59499
35,1339527061038.5476,-753231617865.6812,-55093405740.44041
36,1344311798668.5938,-744907652658.949,-55040120672.81966
37,1349059791388.369,-736563279378.0991,-54985327637.646095
38,1353770920232.6172,-728198731610.1528,-54929028612.59133
39,1358445068578.7075,-719814244078.8104,-54871225667.655846
